Brand,Model,Vehicle Class,CO₂ g/km (max),Engine Size L,Price Proxy CAD,CA Sales 2026 Jan–Feb,CA Brand Total,CA Sales Share,Fuel Type [CA],Transmission [CA],Class Avg CO₂,Class Avg MPG,Class Avg Engine L,Class Avg Cylinders,Demand Target Units,Revenue Target CAD,Brand Benchmark CAD,Price Index (class),Powertrain Type,Cylinders,Max Power PS (max),Max Torque Nm (max),Drive Config,Seats (max),co2_penalty,price_penalty,engine_penalty,business_score,business_index,business_rank,cluster
TOYOTA,FJ CRUISER,Mid-size SUV,320.0,4.0,23604.5048730976,,,,X,A5 / M6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,46629.2795792847,1100661057.05826,23670.0,0.997232989991451,Petrol,6.0,276.0,380.0,"FR (Front-Engine, Rear-Wheel Drive) / FR/4WD (Front-Engine, Four-Wheel Drive)",5.0,0.6696035242290749,0.08659469867603212,0.5952380952380952,0.450677349487314,54.9322650512686,27,0
ACURA,RDX,Compact SUV,250.0,3.5,48974.1121384801,423.0,1670.0,0.25329341317365267,Z,AS10 / AS6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,32174.2695309378,1575706283.98183,49110.0,0.997232989991451,Petrol,6.0,276.0,380.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.36123348017621143,0.5641331313485858,0.47619047619047616,0.45523975728939536,54.47602427106047,28,0
ACURA,MDX,Mid-size SUV,259.0,3.5,48974.1121384801,582.0,1670.0,0.34850299401197604,Z,AM7 / AS6 / AS9,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,34967.6784662441,1712511006.42816,49110.0,0.997232989991451,Petrol,6.0,360.0,480.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",7.0,0.4008810572687225,0.5641331313485858,0.47619047619047616,0.47308116698102537,52.69188330189747,29,0
NISSAN,XTERRA,Mid-size SUV,331.0,4.0,23831.8739948157,,,,X,A5 / M6,225.090395480226,29.7485875706215,2.7225988700565,4.74011299435028,35190.3313202767,838651541.86065,23898.0,0.997232989991451,Petrol,6.0,265.0,387.0,"FR/4WD (Front-Engine, Four-Wheel Drive)",5.0,0.7180616740088106,0.09087452425187198,0.5952380952380952,0.473981455839739,52.60185441602609,30,0
TOYOTA,4RUNNER,Mid-size SUV,321.0,4.0,32994.7698896672,1203.0,19154.0,0.06280672444398037,X,AS5,286.96511627907,24.5697674418605,4.22790697674418,6.55813953488372,46560.8933214965,1536265961.00012,23670.0,1.39394887577808,Hybrid Electric (HEV) / Petrol,6.0,331.0,630.0,"FR (Front-Engine, Rear-Wheel Drive) / FR/4WD (Front-Engine, Four-Wheel Drive)",7.0,0.6740088105726872,0.2633499945497441,0.5952380952380952,0.5145240818977388,48.54759181022612,31,0
INFINITI,QX50,Compact SUV,280.0,3.7,51601.8210671076,586.0,1009.0,0.5807730426164519,Z,AS7 / AV8,225.090395480226,34.8020833333333,2.7225988700565,4.74011299435028,26758.5306397974,1380788910.09354,51745.0,0.997232989991451,Petrol,6.0,261.0,380.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.4933920704845815,0.613595150613216,0.5238095238095238,0.541546639194592,45.8453360805408,32,0
INFINITI,QX60,Mid-size SUV,257.0,3.5,72129.8845771368,282.0,1009.0,0.2794846382556987,X / Z,AV / AV7,286.96511627907,29.7485875706215,4.22790697674418,6.55813953488372,24253.6898490054,1359227042.86471,51745.0,1.39394887577808,Petrol,6.0,252.0,376.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",7.0,0.3920704845814978,1.0,0.47619047619047616,0.6216698132997692,37.83301867002308,33,1
LEXUS,RX,Mid-size SUV,269.0,3.5,70833.5121226632,1549.0,4217.0,0.36732274128527387,X / Z,AS6 / AS8 / AV6,286.96511627907,29.7485875706215,4.22790697674418,6.55813953488372,45297.62758064,2678589938.75122,50815.0,1.39394887577808,Hybrid Electric (HEV) / Petrol / Plug-in Hybrid (PHEV),6.0,271.0,460.0,"FF (Front-Engine, Front-Wheel Drive) / FF/AWD (Front-Engine, All-Wheel Drive)",5.0,0.44493392070484583,0.9755980585906061,0.47619047619047616,0.636917680061988,36.3082319938012,34,1
NISSAN,ARMADA,Full-size SUV,382.0,5.6,33312.5902333446,60.0,9331.0,0.006430178973314757,X,A5 / AS7,286.96511627907,24.5697674418605,4.22790697674418,6.55813953488372,8235.06959227444,274331498.870514,23898.0,1.39394887577808,Petrol,8.0,431.0,700.0,"FR (Front-Engine, Rear-Wheel Drive) / FR/4WD (Front-Engine, Four-Wheel Drive)",8.0,0.9427312775330396,0.2693324059920471,0.976190476190476,0.7137335122251796,28.626648777482046,35,1
TOYOTA,SEQUOIA,Full-size SUV,385.0,5.7,32994.7698896672,104.0,19154.0,0.005429675263652501,X,AS6,286.96511627907,24.5697674418605,4.22790697674418,6.55813953488372,36002.1102498546,1187881343.23638,23670.0,1.39394887577808,Hybrid Electric (HEV),8.0,443.0,790.0,"FR (Front-Engine, Rear-Wheel Drive) / FR/4WD (Front-Engine, Four-Wheel Drive)",8.0,0.9559471365638766,0.2633499945497441,1.0,0.7223487095461549,27.765129045384505,36,1
